Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,DummySub_Counts,physics_yield,physics_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,9,192,216,248.50000000000006,0.08457751210083198,0.007836613502481897,9.265599457618487
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,10,216,240,108.16666666666666,0.037563499577549,0.004974413810126477,13.242679372450139
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,11,240,264,17.166666666666664,0.0059615415354199505,0.0015723202827634456,26.37439114399605
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,12,264,288,1.0,0.0003472742641992204,0.00034866220908444205,100.39966822431316
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,13,288,312,1.0,0.0003472742641992204,0.00034866220908444205,100.39966822431316
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,14,312,336,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,15,336,360,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,1,0,24,2.0,0.0006945485283984408,0.0004950378925136467,71.27477379516654
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,2,24,48,2.0,0.0006945485283984408,0.0004950378925136467,71.27477379516654
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,3,48,72,2.8333333333333335,0.000983943748564458,0.0006106573755910074,62.062224236084305
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,4,72,96,15.166666666666668,0.004406921730684355,0.0019093172442044995,43.32541762451496
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,5,96,120,117.33333333333331,0.039886775723038025,0.004716363196101243,11.824378156936712
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,6,120,144,284.99999999999994,0.0973963679568264,0.00860549049959445,8.835535328595691
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,7,144,168,362.49999999999983,0.1215865643905317,0.010568972598311707,8.692549749464542
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,8,168,192,381.3333333333333,0.1307071101952951,0.01069283332209628,8.180758725458515
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,9,192,216,357.33333333333314,0.12237252785451383,0.010187012796051855,8.32459129075358
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,10,216,240,362.1666666666666,0.12405102013147669,0.01027089559263773,8.279573663926358
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,11,240,264,117.66666666666666,0.040862605087441585,0.005281329524998483,12.924603102756189
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,12,264,288,7.0,0.002430919849394543,0.0009442065737876945,38.84153457477684
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,13,288,312,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,14,312,336,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,15,336,360,1.0,0.0003472742641992204,0.00034866220908444205,100.39966822431316
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.31,1,0,24,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.31,2,24,48,3.0,0.001041822792597661,0.0006086801598065511,58.42453861936343
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.31,3,48,72,6.0,0.001223574308858168,0.0015263433125852902,124.74463557588622
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.31,4,72,96,28.499999999999996,0.009897316529677777,0.0020717149144389726,20.93208707862171
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.31,5,96,120,196.00000000000006,0.06806575578304723,0.007811896250328849,11.476984513664236
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.31,6,120,144,332.49999999999983,0.11460862156990366,0.009563466995189911,8.344456869116806
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.31,7,144,168,429.16666666666623,0.14817846710916174,0.011640529908842836,7.855749985770444
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.31,8,168,192,454.1666666666665,0.1551401811614679,0.012332014671903563,7.948949511067388
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.31,9,192,216,466.83333333333314,0.16039905978432856,0.012520993269976955,7.806151287178737
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.31,10,216,240,405.3333333333332,0.13818162125973918,0.011304528045058451,8.180920112240829
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.31,11,240,264,194.0000000000001,0.06651113597831164,0.0064853545658879646,9.750780031787082
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.31,12,264,288,22.666666666666668,0.007871549988515664,0.0018101810650635933,22.99650091410953
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.31,13,288,312,3.8333333333333335,0.0013312180127636785,0.0007070652879301136,53.114161703852616
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.31,14,312,336,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.31,15,336,360,1.0,0.0003472742641992204,0.00034866220908444205,100.39966822431316
Q3p85_W2p62_t0p21_loweps_left,4,0.31,0.358,1,0,24,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_loweps_left,4,0.31,0.358,2,24,48,1.0,0.0003472742641992204,0.00034866220908444205,100.39966822431316
Q3p85_W2p62_t0p21_loweps_left,4,0.31,0.358,3,48,72,1.5,0.0005209113962988305,0.0005034104723473799,96.64032615224049
Q3p85_W2p62_t0p21_loweps_left,4,0.31,0.358,4,72,96,34.333333333333336,0.0119230830708399,0.002317970277477057,19.44103101274268
Q3p85_W2p62_t0p21_loweps_left,4,0.31,0.358,5,96,120,222.00000000000009,0.07451467282321551,0.00738821488074227,9.915114165864559
Q3p85_W2p62_t0p21_loweps_left,4,0.31,0.358,6,120,144,441.99999999999966,0.15120170137248967,0.012073619773236632,7.985108410581258
Q3p85_W2p62_t0p21_loweps_left,4,0.31,0.358,7,144,168,568.5,0.19412847930463106,0.014822173855057496,7.635239253998474
Q3p85_W2p62_t0p21_loweps_left,4,0.31,0.358,8,168,192,561.3333333333336,0.19235640647481764,0.014606673739939699,7.593546795568742
Q3p85_W2p62_t0p21_loweps_left,4,0.31,0.358,9,192,216,641.166666666667,0.22194395633211927,0.016151843594222528,7.277442405348826
Q3p85_W2p62_t0p21_loweps_left,4,0.31,0.358,10,216,240,525.5000000000002,0.18077248328401602,0.013791498226501359,7.629202174997619
Q3p85_W2p62_t0p21_loweps_left,4,0.31,0.358,11,240,264,243.3333333333334,0.08364333301213984,0.007598555752107135,9.084472699102383
Q3p85_W2p62_t0p21_loweps_left,4,0.31,0.358,12,264,288,22.833333333333336,0.007929429032548866,0.0018112786668666632,22.842485372297215
Q3p85_W2p62_t0p21_loweps_left,4,0.31,0.358,13,288,312,2.833333333333333,0.000983943748564458,0.0006106573755910073,62.0622242360843
Q3p85_W2p62_t0p21_loweps_left,4,0.31,0.358,14,312,336,2.0,0.0006945485283984408,0.0004950378925136467,71.27477379516654
Q3p85_W2p62_t0p21_loweps_left,4,0.31,0.358,15,336,360,0.8333333333333334,0.000289395220166017,0.0003530158312468436,121.9839882097325
Q3p85_W2p62_t0p21_loweps_left,5,0.358,0.5,1,0,24,1.8333333333333335,0.0006366694843652375,0.0004977905003801952,78.1866435575273
Q3p85_W2p62_t0p21_loweps_left,5,0.358,0.5,2,24,48,0.8333333333333334,0.000289395220166017,0.0003530158312468436,121.9839882097325
Q3p85_W2p62_t0p21_loweps_left,5,0.358,0.5,3,48,72,4.666666666666667,0.0016206132329296954,0.0007941867937988176,49.005325740991935
Q3p85_W2p62_t0p21_loweps_left,5,0.358,0.5,4,72,96,38.833333333333336,0.013485817259736391,0.0025662154057834578,19.02899436020995
Q3p85_W2p62_t0p21_loweps_left,5,0.358,0.5,5,96,120,237.1666666666667,0.07906493976662265,0.007875239662606507,9.960470071629711
Q3p85_W2p62_t0p21_loweps_left,5,0.358,0.5,6,120,144,622.6666666666669,0.21021560957368784,0.016212691716041075,7.712410961735914
Q3p85_W2p62_t0p21_loweps_left,5,0.358,0.5,7,144,168,664.1666666666669,0.2168868500509211,0.017679591748637417,8.151527741071702
Q3p85_W2p62_t0p21_loweps_left,5,0.358,0.5,8,168,192,562.8333333333333,0.19115717531844217,0.01481841810990331,7.751954947659074
Q3p85_W2p62_t0p21_loweps_left,5,0.358,0.5,9,192,216,689.166666666667,0.22986906303758733,0.017862360649987422,7.770667533049733
Q3p85_W2p62_t0p21_loweps_left,5,0.358,0.5,10,216,240,675.1666666666665,0.22773078238053268,0.01737939982238772,7.631554961835225
Q3p85_W2p62_t0p21_loweps_left,5,0.358,0.5,11,240,264,295.8333333333334,0.09929501805358741,0.009097407202042041,9.161997631273266
Q3p85_W2p62_t0p21_loweps_left,5,0.358,0.5,12,264,288,34.5,0.0119809621148731,0.00234976952194665,19.612527770450583
Q3p85_W2p62_t0p21_loweps_left,5,0.358,0.5,13,288,312,2.0,0.0006945485283984408,0.0004950378925136467,71.27477379516654
Q3p85_W2p62_t0p21_loweps_left,5,0.358,0.5,14,312,336,1.8333333333333335,0.0006366694843652375,0.0004977905003801952,78.1866435575273
Q3p85_W2p62_t0p21_loweps_left,5,0.358,0.5,15,336,360,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,1,0,24,396.83333333333326,0.9022493044008217,0.08894433136694628,9.858065939548014
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,2,24,48,345.3333333333333,0.7789913286514286,0.07959884193448892,10.218193580188954
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,3,48,72,270.3333333333333,0.6128961350201477,0.06450954859265484,10.525363908606508
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,4,72,96,190.83333333333334,0.4255916079453881,0.04983254958019257,11.709006627449075
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,5,96,120,52.0,0.1189435953185379,0.020721791898294126,17.421528114061086
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,6,120,144,6.0,0.013724260998292838,0.0057868043649946695,42.16477933285071
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,7,144,168,7.0,0.016011637831341644,0.0062829580713976586,39.23994620399928
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,8,168,192,2.0,0.004574753666097613,0.0032706135692649823,71.49267060000857
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,9,192,216,3.0,0.00686213049914642,0.004027395604386652,58.690163425012386
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,10,216,240,12.0,0.02744852199658568,0.008435834618961234,30.733292743451063
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,11,240,264,45.0,0.09747388863981675,0.019438994426762893,19.942771031320415
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,12,264,288,188.66666666666669,0.42609369365449523,0.04861006258765566,11.40830369272536
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,13,288,312,273.6666666666667,0.6096045867688846,0.0664961212738783,10.908074302119472
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,14,312,336,363.49999999999994,0.809629203423723,0.0841887264000748,10.39843005218455
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,15,336,360,380.0,0.8637451277111667,0.08570412020820632,9.922385372559285
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,1,0,24,242.6666666666667,0.5496120426391308,0.059234342014560626,10.7774825548088
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,2,24,48,238.1666666666667,0.5338607780430317,0.059046572972820906,11.06029425672876
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,3,48,72,156.33333333333337,0.3466771072052044,0.04318809803574464,12.457730013935079
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,4,72,96,75.5,0.1726969508951848,0.02701344825802876,15.642110713595672
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,5,96,120,3.833333333333333,0.008768277860020424,0.004682804457897569,53.406205102704874
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,6,120,144,1.0,0.0022873768330488064,0.002300059709670436,100.55447254857104
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,7,144,168,1.0,0.0022873768330488064,0.002300059709670436,100.55447254857104
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,8,168,192,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,9,192,216,1.0,0.0022873768330488064,0.002300059709670436,100.55447254857104
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,10,216,240,2.0,0.004574753666097613,0.0032706135692649823,71.49267060000857
