Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_higheps_center,1,0.16,0.208,4,72,96,332.0,0.04324895585770934,0.0023849046841394866,5.514363611426623
Q3p85_W2p62_t0p21_higheps_center,1,0.16,0.208,5,96,120,400.0,0.050863237132931505,0.002561362883234234,5.035784247353527
Q3p85_W2p62_t0p21_higheps_center,1,0.16,0.208,6,120,144,442.0,0.05544549316507172,0.0026578765862141167,4.793674714554554
Q3p85_W2p62_t0p21_higheps_center,1,0.16,0.208,7,144,168,425.0,0.05176259156675448,0.002532300119039946,4.8921432300664875
Q3p85_W2p62_t0p21_higheps_center,1,0.16,0.208,8,168,192,487.0,0.05936657006198701,0.002720828938507266,4.583099437387641
Q3p85_W2p62_t0p21_higheps_center,1,0.16,0.208,9,192,216,495.0,0.06090905192099503,0.0027654809537125255,4.540344770592758
Q3p85_W2p62_t0p21_higheps_center,1,0.16,0.208,10,216,240,532.0,0.06794619674554908,0.002970882188226915,4.372403946835372
Q3p85_W2p62_t0p21_higheps_center,1,0.16,0.208,11,240,264,460.0,0.06008390287984853,0.0028187241224382543,4.691313292471923
Q3p85_W2p62_t0p21_higheps_center,1,0.16,0.208,12,264,288,386.0,0.05190651470609064,0.0026597854910747733,5.124184326640367
Q3p85_W2p62_t0p21_higheps_center,1,0.16,0.208,13,288,312,226.0,0.030660829893328717,0.0020473594885041867,6.677443159976755
Q3p85_W2p62_t0p21_higheps_center,1,0.16,0.208,14,312,336,143.0,0.019311124946478544,0.0016237801799558259,8.40852195020326
Q3p85_W2p62_t0p21_higheps_center,1,0.16,0.208,15,336,360,120.0,0.01636713324405749,0.001502678953259915,9.18107606782942
Q3p85_W2p62_t0p21_higheps_center,2,0.208,0.226,1,0,24,126.0,0.015044130305059246,0.0013453327800136846,8.942575959749947
Q3p85_W2p62_t0p21_higheps_center,2,0.208,0.226,2,24,48,128.0,0.014896838773510165,0.001320115177938923,8.861713535400385
Q3p85_W2p62_t0p21_higheps_center,2,0.208,0.226,3,48,72,224.0,0.0254814755665088,0.0017094891344098882,6.708752520818417
Q3p85_W2p62_t0p21_higheps_center,2,0.208,0.226,4,72,96,290.0,0.03191271371078555,0.0018832038460678518,5.901108452056788
